,text,label,np
0, Unregistered villas  flats and apartments that are being pitched to tourists as affordable accommodation  across the state have become a thorn in the side for legitimate hoteliers  homestays and bed and breakfasts across the state as they have been losing considerable business to these illegal ventures.  These unregistered guest houses are being rented through online travel companies and through touts. Tourists  too  prefer to put up at these accommodations due to the cheap tariff. Most of these accommodations only charge ₹500 to ₹1 000 per room during the off season. Registered hoteliers cannot hope to compete with the prices as the illegal ventures do not pay tax and use domestic water and power connections.  With business being encroached  occupancy in registered businesses is around 10% during weekdays and increases to 15%-20% during the weekends. A large number of illegal guest houses have mushroomed around the state capital.  The tourism department says there are around 3 350 registered hotels and 1 656 registered homestays in the state. Tourism Industry Stakeholders Association president Mohinder Seth says   “Due to these unregistered accommodations  tourists are unwilling to pay even 50% tariff in the off season. This is a big blow for budget-class hotels  bread and breakfasts and home stays. It has become difficult to sustain hotels due to low- occupancy in hotels.” “The government does not get any tax from these unregistered accommodations  which causes losses to the government also ” he said.  Hoteliers claim that it has become difficult for them to meet fixed expenditures such as staff salaries  electricity bills  water bills and garbage-collection fee.  The industry is already reeling in the aftermath of the Covid crisis. Apart from a six-month waiver on fixed demand charges levied on hotels by Himachal Pradesh State Electricity Board Limited no other financial help has been extended to the hotel industry. The government has also announced an interest subvention scheme for the hotel industry  under which working capital will be provided to hotels but this has proved to be an eye wash as none of the hotelier benefitted from the scheme  due to stringent norms. Banks are reluctant to sanction loans to hoteliers under the scheme.Rebate in property tax and waiver of garbage fee for the period when the hotels were completely closed is still awaited.  Travel agents out of job Travel Chapter Anil Bhardwaj senior vice-president said travel agents were not getting any business. “Unless  Volvo bus service and flights are not resumed and train connectivity from Bengal  Maharashtra  Delhi and Gujarat is not streamlined. Travel agents cannot expect any business. Moreover  online travel companies are also eating into travel agents’ business.”  “The government should restart Volvos and ask the railways to restore of all train routes up to Kalka and Chandigarh at the earliest to save the travel and tourism industry ” he said. Hoteliers and tourism stakeholders do not expect the tourism and hospitality sectors to normalise before the summer and are seeking financial aid from the government. They have demanded that the  government announce a special package  which includes domestic tariff for water  garbage-collection fee  property tax  waiver of fixed demand charges on electricity bills for at least one year and unconditional and collateral-free financial assistance in the shape of working capital loan to all hotels through state cooperative banks.  ,delhi,ht
1,Delhi on Sunday recorded highest single-day spike of 7 745 new cases of the coronavirus disease (Covid-19) and 77 related deaths  according to the health department’s latest bulletin  taking the Capital’s tally to 438 529 even as the city is witnessing the third wave of the pandemic. According to the bulletin  there were 6 069 recoveries/discharges/migrations in the last 24 hours. There have been 389 683 recoveries/discharges/migrations and 6 989 deaths so far in the national capital. Active cases of the coronavirus disease stand at 41 857. Also read | Covid-19 vaccine updates: Race for shot to pick up in January  says expert The Capital reported 6 953 cases of the infection on Saturday  as per the government’s Covid-19 bulletin  a day after the number of new infections in Delhi breached the 7 000-mark for the time. The number of active cases or those with current infections crossed the 40 000 mark for the first time in the city the same day. On Saturday  Delhi reported 79 deaths due to the infection  the highest since July 4 when 81 deaths – some that had happened before – were added to the city’s toll. The total number of fatalities stood at 6 912. The Union health ministry data shows that Delhi topped the list of 10 states that contributed 77% of the new Covid-19 cases. Delhi High Court had earlier this week said Delhi was on its way to become the “corona capital of the country.” Also read | Serum produces 30 million Covishield vaccine vials; awaits emergency licensing for vaccination Delhi health minister Satyendar Jain said on Saturday that the Capital is currently reeling under the “third wave” of the Covid-19 infection but cases should begin to come down soon. Jain also said that the Delhi government has filed a special leave petition (SLP) in the Supreme Court after the high court did not allow reserving 80 per cent ICU beds for Covid-19 patients at several private hospitals “Yesterday  we issued an order to add 1 185 beds for Covid patients in both Delhi government hospitals and many private hospitals.Five hundred beds are to be augmented at city government-run Covid facilities  including 110 ICU beds ” Jain had said. Also read | India records 45 674 fresh Covid-19 infections in 24 hours  9% fall from yesterday Earlier on Sunday  the minister had attributed the increase in the number of Covid-19 cases to aggressive testing and contact-tracing. He also said laxity on the part of the people has been a major reason behind the spike in new cases of the coronavirus disease. “Some people think nothing will happen to them if they don’t wear a mask. They are wrong. Mask is the only medicine for Covid-19 till a vaccine is developed ” Jain added. ,delhi,ht
2,The Delhi government has received invitation from non-profit body Climate Group to share its experience at the ‘Race to Zero Dialogues: Launching the global race to zero emission mobility’  according to an official statement. Vice chairperson of Dialogue and Development Commission  Delhi  Jasmine Shah will virtually represent the Delhi government at the event on November 11. He will participate in the session ‘Governments leading the way’ to share experiences on how governments can effectively lead the transition to zero emission vehicles. Delhi is among the four global cities chosen to share experiences in the session  the statement said. Read also: 3% increase in Covid-19 infections in Delhi due to air pollution; masks  air purifiers may not be enough: IMA It’s a privilege for the Delhi government to be invited at the prestigious Race to Zero Dialogues to share its experiences and vision on transition to zero emission vehicles  Shah said. It is because of the “bold and ambitious vision” of chief minister Arvind Kejriwal on pollution and specifically electric vehicles  that Delhi’s policy is being “hailed” as an example globally  he said. “We hope to collaborate  learn and inspire cities and regions across India and globally to adopt equally ambitious policies to reduce air pollution and take action on climate change.” Delhi’s leadership on climate action through its electric vehicle policy has been featured in a global guide ‘Regions Take Action: The Benefits of Major Climate Policies’ published by the Climate Group  added the statement.  ,delhi,ht
3, A student of Delhi University’s Lady Shri Ram College recently died by suicide owing to the stress of not getting her scholarship on time  and because of online classes being an economic burden on her family. During the entire pandemic  students have been trying to cope with what the new normal seems to be for them  ranging from online classes  travelling in the pandemic to appear for exams and constant tussle with occupancy of rooms in hostels.  “Honestly  we are really tired of raising our voices for the problems we have been facing. Whether it’s online open book exams or online classes  students have been protesting against it all. Some of our parents have lost jobs. They aren’t in a position to support our education  leave alone buy us a new laptop for us to be able to attend online classes. My friends who live in villages  don’t have WiFi or internet connectivity  as it’s available in the city. Despite all this  we all have persisted in coping with digital learning. Glued to the screen for six hours a day  we are under mental stress  and it’s time that people take cognisance of the load of online assignments  online exams  and many other challenges that we are facing ” says Amrutha V Devan  a student of Miranda House college  Delhi University. An LSR stu died by suicide because she couldn’t afford her edu. This normalisation of institutional murders and discrimination is appalling! Edu is still inaccessible to millions. And if we manage to secure a seat  we’re made to give up on our dreams and sometimes our lives too.. Recently  entrance exams that were conducted for various colleges and courses required the students to travel from their home towns to the designated examination centres. “I had to travel in the pandemic to give the Delhi University Entrance Test (DUET)  and my centre was Chandigarh. My journey from Delhi to Chandigarh was full of fear. I had mask  gloves and sanitiser  but the constant worry about staying in a hotel  eating outside food  and travelling at the risk of contracting the virus was a huge mental stress for me. But what other way did I have?” says Sanjay Kataria  a masters student of Department of Library and Information Science  DU. A girl from LSR   DU commits suicide on 3rd Nov . She was a state topper beside being gareeb. Her family was financially struggling but still they leased their house to provide her few cent so that she could survive in Delhi to carry on her studies and fulfill her dreams . Financial burden owing to layoffs in the pandemic is further adding to woes of many youngsters. “My father is a cancer patient  and my mother’s rented grocery shop is the only source of income. I cannot afford the expenses of online classes and even my college fee at the moment. My ambition is to join the civil service and to achieve my dream I need to continue my studies in Delhi. My family has a lot of hope from me but everything seems so difficult because of the economic condition we are in “ says Lekshmy A R  a student of Zakir Husain Delhi College  DU. The amount of mental stress that students are going through is due to various reasons. Vedha Chopra  a psychologist at Manas Foundation  says  “Students currently are undergoing a lot of stress during the pandemic. The ones who appeared for entrances  did so during the lockdown under novel and difficult circumstances. College students are having difficulty adjusting to the online method of attending classes. Some of them don’t even have the devices to support this medium of education and those who do have  need to adapt to sitting patiently in front of a screen and concentrate for hours at a stretch. This format of learning is something that they have never been exposed to before.”  Chopra opines that youngsters who are unable to meet friends  who are a support system for them are further distressed. “Home is another aspect of normalcy that has been taken away from students’ daily lives. Friendships are an important contributor towards factors such as healthy cognitive development  and for fostering skills such as empathy  conflict resolution and decision making ” she adds.   Author tweets @FizzyBuddha Follow more stories on Facebook and Twitter ,delhi,ht
4,Delhi Health Minister Satyendar Jain on Sunday said the national capital has hit the peak of the third wave of Covid-19 and the number of cases suggests it has been the worst so far. The government has increased the number of beds for Covid-19 patients in hospitals in Delhi  but there is no plan to rope in hotels and banquet halls  the minister said. “The third wave of Covid-19 is at its peak in Delhi. The number of cases suggests it is the worst wave so far. But the cases will come down soon ” Jain said. The minister attributed the increase in the number of cases to aggressive testing and contact-tracing. He  however  said laxity on the part of the people has been a major reason behind the spike in new cases. “Some people think nothing will happen to them if they don’t wear a mask. They are wrong. Mask is the only medicine for Covid-19 till a vaccine is developed ” Jain added. ,delhi,ht
5,The air quality index (AQI) in the national capital on Sunday morning remained in the severe category for the fourth consecutive day  despite a marginal improvement. The Central Pollution Control Board (CPCB) data showed that the AQI was 405 at 7 am on Sunday.  An AQI between 401 and 500 is considered to be severe  which causes distress and respiratory complications  especially for children and senior citizens.  On Thursday  Friday and Saturday  Delhi’s average 24-hour AQI stood at 450  406 and 427  respectively.  Scientists have predicted that the relief from bad air is unlikely till Tuesday (November 10).  Over 4 500 farm fires that are raging in neighbouring Haryana and Punjab contributed to around 32% of ultrafine particulate matter (PM 2.5)  which could not be dispersed  in Delhi’s air despite slightly better wind speed on Saturday  as compared to Friday.  VK Soni  the head of India Meteorological Department (IMD) environment monitoring research centre  said that during the day the average wind speed was around 12 kilometres per hour (kmph)  which was higher than that on Friday.  However  its impact was not seen on the AQI because of an increase in stubble burning cases in Haryana and Punjab. He said that the north-westerly winds are bringing a heavy load of pollutants from these farm fires to the national capital.  “For the last three days we have been observing that the number of farm fires spotted over Punjab alone is over 4 000. Usually  these fires go up on Sundays at this time of the year. Though the wind speed picked up during the day  the improvement in air quality was not all that significant only because of an uptick in farm fire cases ” Soni said.  Kuldeep Srivastava  the head of IMD’s regional weather forecasting centre  said that in parts of central Delhi the wind speed fluctuated between six and eight kmph on Saturday  but the corresponding figure was up to 16 kmph in outer parts of the national capital.  “The wind is blowing from the north-western direction  which is bringing a large share of smoke from Haryana and Punjab ” he said. Srivastava said that there is a forecast of the wind direction changing to easterlies from Tuesday  but before that it will reduce drastically  possibly pushing the city’s air quality further into the “severe” zone.  “During the transitional stage of a change in wind direction  the speed reduces drastically. The wind may become calm from Sunday evening. This will only lead to a further worsening of air quality ” he warned.  IMD had predicted a foggy Sunday morning in the national capital. The maximum and minimum temperature is expected to be around 30 degrees and 11 degrees Celsius (C)  respectively.  On Saturday  Delhi’s minimum temperature  recorded at the Safdarjung observatory  was 11.8 degrees C – two degrees below normal. The maximum temperature was 30 degrees C – one degree above normal.  ,delhi,ht
6,The HT Brunch Social Media Star Of The Week goes to the butter chicken chef who’s now famous for so much more: Saransh Goila. Why? For driving non-stop for 20 hours (as a social distancing move) from Mumbai to Delhi to spend time with his mum  who has an autoimmune disease. And for making a feast out of it as a social media series.  Mama’s little chef “I first came to Delhi for two weeks as lockdown restrictions began to be eased  but I didn’t cook much then. I let my mother do the pampering ” says Saransh. The big hit was his Instagram video documenting old-fashioned Indian kitchen tools that his mother uses efficiently even today. “All of what we did was spontaneous. I didn’t expect the video to become such a hit ” the #Sadakchef  as he is sometimes called on social media  tells us. “We made a lot of Sindhi food. Mum showed me how to use lotus stem in different ways  and we cooked cholai ka saag in a lohe ki kadhai!” Saransh inherits his camera-friendly demeanour from his mum. “Mom enjoys being in front of the camera as much as I do. I’m especially connected to my mother because of what I do  but my inspiration has also been my granddad  who was a great cook.” Family first “A year ago  my mother was diagnosed with pulmonary fibrosis  and that’s when I started coming to Delhi more often ” says Saransh. “My mother is mentally strong  works on her lungs  does a lot of exercises. Seeing her deal with it positively makes us stronger.” Saransh may have put himself on the map by being the “marathon runner” who’s also the chef who serves butter chicken. But his recent posts show that deep in his heart  is Sindhi food. “Sindhi food comes with the story of Partition  and my nanaji lived through it ” he says. “It’s a cuisine that cares a lot about slow cooking. We bhoono a lot  that’s why Sindhi food is brown in colour. A lot of our food is also fried  which is a preservation technique. It fills you in such a way that you don’t have to eat a lot of meals.” Why do we not see a lot of Sindhi restaurants? “Because people go out for an experience  while Sindhi cuisine is about food. I think Sindhi food would work wonderfully for delivery. It’s something I’d want to do.” Follow @JamalShaikh on Twitter and Instagram From HT Brunch  November 8  2020 Follow us on twitter.com/HTBrunch Connect with us on facebook.com/hindustantimesbrunch ,delhi,ht
7,The Haj pilgrimage scheduled for 2021 will be carried out as per the new guidelines framed by the government of Saudi Arabia in view of Covid-19 pandemic  Union ministry of minority affairs said Saturday. As part of the new guidelines  an age restriction on the pilgrims is likely  the ministry said.  Online registration for the pilgrimage began on Saturday and is set to close on December 10  minority affairs minister Mukhtar Abbas Naqvi said.  The pilgrimage was suspended this year due to the ongoing pandemic. “The applicants can apply online  off-line or through Haj mobile application as well. In view of the coronavirus pandemic  we are making it mandatory for all the pilgrims to submit their COVID-19 negative report of RT-PCR test. The date of testing should be 72 hours prior to boarding a flight to Saudi Arabia ” he said. Under the guidelines  the applications filed for Haj 2020 by women travelling without a male companion (without mehram category) will be valid for the next year’s pilgrimage also.  The embarkation points for the pilgrimage have been reduced to 10 from the earlier 21. The embarkation points are Ahmedabad  Bengaluru  Cochin  Delhi  Guwahati  Hyderabad  Kolkata  Lucknow  Mumbai and Srinagar  the ministry said. The guidelines for the pilgrimage were framed after deliberations that included officials from the ministries of minority affairs  health  external affairs  civil aviation; the Haj Committee of India  Indian Embassy in Saudi Arabia and India’s Consul General in Jeddah. ,delhi,ht
8,The ₹2.35 lakh crore estimated shortfall in Goods and Services Tax (GST) collections in 2020-21 is expected to shrink by almost 15% with revenue seeing positive growth since September and the momentum expected to continue in the remaining five months of the financial year  two finance ministry officials said. Overall GST collections that saw their positive growth (this financial year) of 4% in September  after having plunged by 72% in March  posted a year-on-year growth of over 10% in October  when they crossed ₹1.05 lakh crore. The October number added to the raft of good news about the economy  including car sales and a strong Purchase Manager’s Index score  an indication of a pick up in manufacturing activity.  Besides positive GST collections since September  the number of states having a year-on-year decline in revenue has reduced from 15 in September to seven in October  the officials added on condition of anonymity. “The trend  if sustained in the next five months  will reduce the gap between projected revenue and actual revenue for FY-21 by about ₹35 000 crore ” one of the officials said.  According to official data  15 regions that saw a fall in revenue in September 2020 compared to the same month last year included Chandigarh (10% drop in GST revenue)  Delhi (7%)  Sikkim (49%)  Arunachal Pradesh (20%)  Manipur (19%)  Mizoram (42%)  Tripura (3%)  Meghalaya (6%)  Daman and Diu (83%)  Karnataka (5%)  Goa (23%)  Lakshadweep (58%)  Puducherry (1%)  and Telangana (2%).  And growth in revenue collections in Uttar Pradesh and Maharashtra was stagnant. The year-on-year revenue collections contracted only in seven regions in October this year  including in Chandigarh (3%)  Delhi (8%)  Sikkim (5%)  Daman and Diu (91%)  Lakshadweep (55%)  and Andaman and Nicobar Islands (42%).  “It is expected that the collections November onward would be even better  which would not only reduce the estimated shortfall of ₹2.35 lakh crore [in 2020-21]  but also see improved collections of compensation cess  therefore  proportionately reduce the borrowing liabilities ” the second official said. At the time of introducing the new indirect tax regime  the GST law assured states a 14% increase in their annual tax revenue for five years ending June 30  2022 and the Centre committed to meet any shortfall in revenue through the cess levied on luxury goods and sin products such as liquor  cigarettes  aerated water  automobiles  coal and other tobacco commodities. Due to the Covid-19 pandemic and subsequent 68-day lockdown since March 25  GST collections fell sharply in April and continued to contract till August. On August 27  the Centre gave states the choice of borrowing ₹97 000 crore (the shortfall resulting from GST implementation issues) without having to pay principal or interest  or the entire ₹2.35 lakh crore revenue deficit from the indirect tax (including that arising from the Covid-19 pandemic) projected for this fiscal year. The ₹97 000 crore amount was subsequently raised to ₹1.1 lakh crore on October 5. Seven states are still opposing the Centre’s proposal and are demanding full compensation of ₹2.35 lakh crore under the first option. MS Mani  a partner at consulting firm Deloitte India  said: “With the increase in GST collections for the past two months and an expectation of robust collections in the next few months  the collections deficit is expected to be lower – both in respect of GST and in respect of compensation cess. This could potentially reduce the borrowing plans of the states. The easing of revenue pressures may also enable a renewed focus on the policy agenda by the GST Council.” Archit Gupta  founder and CEO of the financial technology platform ClearTax  said: “Judging from the overall growth rate of the past three months  it looks like the economy is on the road to recovery  and one can expect to see a marginal increase month-on-month over the next few months of the financial year.” ,delhi,ht
9, With the Himachal BJP reeling from factionalism  chief minister Jai Ram Thakur met national party chief Jagat Prakash Nadda in New Delhi on Saturday. Thakur had also held a closed-door meeting with state party chief Suresh Kashyap on Friday evening at Peterhoff Hotel. The leaders are said to have discussed the issues plaguing the party and the upcoming elections to panchayati raj institutions.  Kashyap also discussed in detail factionalism in the party  particularly in the Jawalamukhi segment  where senior party legislator Ramesh Dhawala is up in arms against the party’s decision to dissolve the block unit. Kashyap had dissolved the unit after fresh infighting erupted among Dhawala supporters and the party’s organisational secretary Pawan Rana. Dhawala has repeatedly accused Rana of interfering in the Jawalamukhi segment. Dhawala had termed the party’s action as arbitrary. He has sought intervention of national BJP chief Jagat Prakash Nadda to redress his grievances.  “After the Bihar elections  Nadda should devote two to three days to asses the situation in Himachal and Jawalamukhi  in particular ” said Dhawala  who also spoke to former chief minister Shanta Kumar.  There is growing disquiet in the party over infighting in Jawalamukhi  as it believes that it will tarnish the party’s image. The party can hardly sideline Dhawala who Dhawala was instrumental in formation of the BJP- Himachal Vikas Congress (HVP) alliance government in 1998. Dhawala  then an independent candidate  had enabled the BJP to topple the Virbhadra Singh-led Congress government. Dhawala enjoys considerable support among the dominant OBCs (other backward classes).  Braced for panchayat polls Nadda assessed the political situation along with the government and party’s preparation for the upcoming elections to civic bodies and Panchayati Raj Institutions. The elections  which are due next month  are being seen as a precursor to the 2022 assembly elections. The outcome of the elections will be reflective of the policies and programmes of the Jai Ram-led government  which will complete three years in office in December. The Congress has also fortified its cadres and is attacking the government over misrule  poor governance and questionable fiscal management. Congress leaders during their rallies and speeches have been condemning Jai Ram’s anti-people stance. The BJP is banking on the party’s three-year rule and the achievements of the Prime Minister Narendra Modi-led Centre. The BJP has directed its workers to educate voters about the benefits of different centrally-sponsored schemes. The BJP will also attempt to derive political mileage from the newly carved out municipal corporations in Mandi  Palampur and Solan. Mandi is also the home town of the chief minister while Palampur is the home town of former chief minister Shanta Kumar.  ,delhi,ht
